 	2
ँ	36260
ँ्	4
ँ्र	4
ं	37660
ं्	9
ं्र	9
ः	2757
अ	65007
अ्	2
अ्भ	1
अ्श	1
आ	44705
इ	24738
ई	38141
ई्	1
ई्र	1
उ	62709
उ्	5
उ्ज	1
उ्र	4
ऊ	761
ऋ	691
ऎ	3
ए	81699
ए्	1
ए्।	1
ऐ	1999
ओ	3498
ओ्	2
ओ्ढ	1
ओ्य	1
औ	2148
क	494098
क्	58818
क्ँ	1
क्ः	1
क्आ	1
क्ऋ	2
क्ए	1
क्क	1560
क्ख	28
क्ग	1
क्च	31
क्छ	1024
क्ज	35
क्झ	4
क्ट	838
क्ड	10
क्ढ	2
क्त	10863
क्थ	73
क्द	838
क्ध	1
क्न	2972
क्प	16
क्ब	8
क्भ	4
क्म	12
क्य	1639
क्र	11798
क्ल	1130
क्व	472
क्श	48
क्ष	23620
क्स	1783
क्ह	1
क्१	1
ख	49945
ख्	5090
ख्ं	1
ख्ख	66
ख्छ	96
ख्ड	1
ख्त	374
ख्थ	18
ख्द	248
ख्न	1585
ख्य	2419
ख्र	254
ख्ल	5
ख्व	18
ख्ष	1
ख्स	1
ख्ु	1
ख््	2
ग	166668
ग्	12653
ग्अ	1
ग्ऐ	1
ग्क	1
ग्ग	1538
ग्घ	5
ग्छ	379
ग्ज	7
ग्ड	3
ग्ण	6
ग्त	1
ग्थ	40
ग्द	750
ग्ध	59
ग्न	2665
ग्प	1
ग्ब	6
ग्भ	1
ग्म	177
ग्य	1411
ग्र	5037
ग्ल	494
ग्व	39
ग्श	1
ग्ष	1
ग्स	24
ग्ह	2
ग्ा	1
ग््	1
ग्१	1
घ	17302
घ्	137
घ्घ	1
घ्द	3
घ्ध	1
घ्न	22
घ्य	34
घ्र	75
घ्व	1
ङ	13898
ङ्	8931
ङ्ं	1
ङ्अ	1
ङ्आ	2
ङ्उ	2
ङ्क	3049
ङ्ख	560
ङ्ग	3424
ङ्घ	1133
ङ्ङ	1
ङ्च	8
ङ्छ	2
ङ्ज	47
ङ्झ	3
ङ्ट	19
ङ्ठ	3
ङ्ड	5
ङ्त	12
ङ्थ	4
ङ्द	41
ङ्ध	2
ङ्न	18
ङ्प	5
ङ्फ	2
ङ्ब	5
ङ्भ	2
ङ्म	31
ङ्य	9
ङ्र	4
ङ्ल	68
ङ्व	9
ङ्श	3
ङ्स	444
ङ्ह	1
ङ्ि	1
ङ्े	1
ङ््	5
ङ्।	1
ङ्१	1
ङ्२	1
ङ्६	1
च	54934
च्	3606
च्ऋ	1
च्क	21
च्घ	3
च्च	1713
